Date,Ticker,Open,High,Low,Close,Adjusted,Returns,Volume
2015-01-05,XELB,65.0,65.0,65.0,65.0,65.0,0.0,0
2015-01-06,XELB,65.0,65.0,65.0,65.0,65.0,0.0,0
2015-01-07,XELB,65.0,65.0,65.0,65.0,65.0,0.0,0
2015-01-08,XELB,65.0,65.0,65.0,65.0,65.0,0.0,0
2015-01-09,XELB,65.0,65.0,65.0,65.0,65.0,0.0,0
2015-01-12,XELB,72.5,72.5,65.0,65.0,65.0,0.0,700
2015-01-13,XELB,65.0,65.0,65.0,65.0,65.0,0.0,0
2015-01-14,XELB,67.5,67.5,67.5,67.5,67.5,0.03846153846153855,200
2015-01-15,XELB,67.5,67.5,67.5,67.5,67.5,0.0,0
2015-01-16,XELB,72.5,72.5,72.5,72.5,72.5,0.07407407407407418,100
2015-01-20,XELB,72.5,72.5,72.5,72.5,72.5,0.0,0
2015-01-21,XELB,72.5,72.5,65.0,65.0,65.0,-0.10344827586206895,2270
2015-01-22,XELB,65.0,65.0,65.0,65.0,65.0,0.0,0
2015-01-23,XELB,65.0,65.0,65.0,65.0,65.0,0.0,0
2015-01-26,XELB,65.0,65.0,65.0,65.0,65.0,0.0,0
2015-01-27,XELB,65.0,65.0,65.0,65.0,65.0,0.0,0
2015-01-28,XELB,65.0,65.0,65.0,65.0,65.0,0.0,0
2015-01-29,XELB,65.0,65.0,65.0,65.0,65.0,0.0,0
2015-01-30,XELB,75.0,75.0,65.5,72.5,72.5,0.11538461538461542,710
2015-02-02,XELB,75.0,75.0,65.0999984741211,65.0999984741211,65.0999984741211,-0.102068986563847,200
2015-02-03,XELB,65.0,70.0,65.0,70.0,70.0,0.07526884240752763,50
2015-02-04,XELB,65.0,65.5,65.0,65.5,65.5,-0.06428571428571428,590
2015-02-05,XELB,66.0,66.0,66.0,66.0,66.0,0.007633587786259444,200
2015-02-06,XELB,63.0,65.0,63.0,65.0,65.0,-0.015151515151515138,410
2015-02-09,XELB,65.0,65.0,65.0,65.0,65.0,0.0,0
2015-02-10,XELB,70.0,70.0,70.0,70.0,70.0,0.07692307692307687,100
2015-02-11,XELB,70.0,70.0,70.0,70.0,70.0,0.0,0
2015-02-12,XELB,70.0,70.0,70.0,70.0,70.0,0.0,0
